disco,coleccion,tipo,estado,titulo_archivo,anio_archivo,carpeta,nombre_archivo,extension,tamano_mb,ruta_completa,nombre_limpio
horror,Terror,Película,coleccion,Creepshow,1982,,1982 - Creepshow.mp4,mp4,1922.7,/Volumes/horror/horror collection/1982 - Creepshow.mp4,1982 - Creepshow
horror,Terror,Película,coleccion,The Thing,1982,,1982 - The Thing (Arrow Remastered).mp4,mp4,1732.4,/Volumes/horror/horror collection/1982 - The Thing (Arrow Remastered).mp4,1982 - The Thing (Arrow Remastered)
horror,Terror,Película,coleccion,A Nightmare On Elm Street,1984,,1984 - A Nightmare On Elm Street.mp4,mp4,1798,/Volumes/horror/horror collection/1984 - A Nightmare On Elm Street.mp4,1984 - A Nightmare On Elm Street
horror,Terror,Película,coleccion,Night Of The Comet,1984,,1984 - Night Of The Comet.mp4,mp4,1665.8,/Volumes/horror/horror collection/1984 - Night Of The Comet.mp4,1984 - Night Of The Comet
horror,Terror,Película,coleccion,Fright Night,1985,,1985 - Fright Night.mkv,mkv,4474.7,/Volumes/horror/horror collection/1985 - Fright Night.mkv,1985 - Fright Night
horror,Terror,Película,coleccion,Aliens,1986,,1986 - Aliens (Director's Cut).mkv,mkv,32461.8,/Volumes/horror/horror collection/1986 - Aliens (Director's Cut).mkv,1986 - Aliens (Director's Cut)
horror,Terror,Película,coleccion,Manhunter,1986,,1986 - Manhunter (Director's Cut).mkv,mkv,3701.7,/Volumes/horror/horror collection/1986 - Manhunter (Director's Cut).mkv,1986 - Manhunter (Director's Cut)
horror,Terror,Película,coleccion,The Texas Chainsaw Massacre,1986,,1986 - The Texas Chainsaw Massacre 2.mp4,mp4,1601.5,/Volumes/horror/horror collection/1986 - The Texas Chainsaw Massacre 2.mp4,1986 - The Texas Chainsaw Massacre 2
horror,Terror,Película,coleccion,Creepshow,1987,,1987 - Creepshow 2.mp4,mp4,1430.5,/Volumes/horror/horror collection/1987 - Creepshow 2.mp4,1987 - Creepshow 2
horror,Terror,Película,coleccion,Evil Dead,1987,,1987 - Evil Dead 2 (Remastered).mp4,mp4,1347.6,/Volumes/horror/horror collection/1987 - Evil Dead 2 (Remastered).mp4,1987 - Evil Dead 2 (Remastered)
horror,Terror,Película,coleccion,Hellraiser,1987,,1987 - Hellraiser.mp4,mp4,1821.1,/Volumes/horror/horror collection/1987 - Hellraiser.mp4,1987 - Hellraiser
horror,Terror,Película,coleccion,Near Dark,1987,,1987 - Near Dark.mp4,mp4,3931.9,/Volumes/horror/horror collection/1987 - Near Dark.mp4,1987 - Near Dark
horror,Terror,Película,coleccion,Predator,1987,,1987 - Predator (4K).mkv,mkv,22415.4,/Volumes/horror/horror collection/1987 - Predator (4K).mkv,1987 - Predator (4K)
horror,Terror,Película,coleccion,Jacob's Ladder,1990,,1990 - Jacob's Ladder.mp4,mp4,1812.1,/Volumes/horror/horror collection/1990 - Jacob's Ladder.mp4,1990 - Jacob's Ladder
horror,Terror,Película,coleccion,Leatherface The Texas Chainsaw Massacre III,1990,,1990 - Leatherface The Texas Chainsaw Massacre III.mkv,mkv,3907.2,/Volumes/horror/horror collection/1990 - Leatherface The Texas Chainsaw Massacre III.mkv,1990 - Leatherface The Texas Chainsaw Massacre III
horror,Terror,Película,coleccion,Misery,1990,,1990 - Misery.mkv,mkv,4765.8,/Volumes/horror/horror collection/1990 - Misery.mkv,1990 - Misery
horror,Terror,Película,coleccion,Predator,1990,,1990 - Predator 2.mkv,mkv,10201.2,/Volumes/horror/horror collection/1990 - Predator 2.mkv,1990 - Predator 2
horror,Terror,Película,coleccion,The Silence of the Lambs,1991,,1991 - The Silence of the Lambs.mkv,mkv,10386.4,/Volumes/horror/horror collection/1991 - The Silence of the Lambs.mkv,1991 - The Silence of the Lambs
horror,Terror,Película,coleccion,Alien,1992,,1992 - Alien 3.mp4,mp4,2312,/Volumes/horror/horror collection/1992 - Alien 3.mp4,1992 - Alien 3
horror,Terror,Película,coleccion,Bram Stoker's Dracula,1992,,1992 - Bram Stoker's Dracula (Remastered).mp4,mp4,2029.9,/Volumes/horror/horror collection/1992 - Bram Stoker's Dracula (Remastered).mp4,1992 - Bram Stoker's Dracula (Remastered)
horror,Terror,Película,coleccion,Natural Born Killers,1994,,1994 - Natural Born Killers.mp4,mp4,2381.8,/Volumes/horror/horror collection/1994 - Natural Born Killers.mp4,1994 - Natural Born Killers
horror,Terror,Película,coleccion,Texas Chainsaw Massacre The Next Generation,1994,,1994 - Texas Chainsaw Massacre The Next Generation (Director's Cut).mp4,mp4,1488.6,/Volumes/horror/horror collection/1994 - Texas Chainsaw Massacre The Next Generation (Director's Cut).mp4,1994 - Texas Chainsaw Massacre The Next Generation (Director's Cut)
horror,Terror,Película,coleccion,Wes Craven's New Nightmare,1994,,1994 - Wes Craven's New Nightmare.mp4,mp4,1789.4,/Volumes/horror/horror collection/1994 - Wes Craven's New Nightmare.mp4,1994 - Wes Craven's New Nightmare
horror,Terror,Película,coleccion,From Dusk Till Dawn,1996,,1996 - From Dusk Till Dawn.mp4,mp4,2105.9,/Volumes/horror/horror collection/1996 - From Dusk Till Dawn.mp4,1996 - From Dusk Till Dawn
horror,Terror,Película,coleccion,Alien Resurrection,1997,,1997 - Alien Resurrection (Theatrical Cut).mkv,mkv,9888.9,/Volumes/horror/horror collection/1997 - Alien Resurrection (Theatrical Cut).mkv,1997 - Alien Resurrection (Theatrical Cut)
horror,Terror,Película,coleccion,Event Horizon,1997,,1997 - Event Horizon.mkv,mkv,8465.1,/Volumes/horror/horror collection/1997 - Event Horizon.mkv,1997 - Event Horizon
horror,Terror,Película,coleccion,American Psycho,2000,,2000 - American Psycho.mkv,mkv,22599.5,/Volumes/horror/horror collection/2000 - American Psycho.mkv,2000 - American Psycho
horror,Terror,Película,coleccion,What Lies Beneath,2000,,2000 - What Lies Beneath.mkv,mkv,2042.6,/Volumes/horror/horror collection/2000 - What Lies Beneath.mkv,2000 - What Lies Beneath
horror,Terror,Película,coleccion,28 Days Later,2002,,2002 - 28 Days Later.mkv,mkv,32376.5,/Volumes/horror/horror collection/2002 - 28 Days Later.mkv,2002 - 28 Days Later
horror,Terror,Película,coleccion,Red Dragon,2002,,2002 - Red Dragon.mp4,mp4,1638.2,/Volumes/horror/horror collection/2002 - Red Dragon.mp4,2002 - Red Dragon
horror,Terror,Película,coleccion,High Tension,2003,,2003 - High Tension.mkv,mkv,8127.6,/Volumes/horror/horror collection/2003 - High Tension.mkv,2003 - High Tension
horror,Terror,Película,coleccion,The Texas Chainsaw Massacre,2003,,2003 - The Texas Chainsaw Massacre.mp4,mp4,1567.9,/Volumes/horror/horror collection/2003 - The Texas Chainsaw Massacre.mp4,2003 - The Texas Chainsaw Massacre
horror,Terror,Película,coleccion,El Habitante Incierto,2004,,2004 - El Habitante Incierto.avi,avi,698.6,/Volumes/horror/horror collection/2004 - El Habitante Incierto.avi,2004 - El Habitante Incierto
horror,Terror,Película,coleccion,Incident At Loch Ness,2004,,2004 - Incident At Loch Ness.mp4,mp4,1838.5,/Volumes/horror/horror collection/2004 - Incident At Loch Ness.mp4,2004 - Incident At Loch Ness
horror,Terror,Película,coleccion,Saw,2004,,2004 - Saw (Unrated Director's Cut).mkv,mkv,9334.3,/Volumes/horror/horror collection/2004 - Saw (Unrated Director's Cut).mkv,2004 - Saw (Unrated Director's Cut)
horror,Terror,Película,coleccion,The Machinist,2004,,2004 - The Machinist.mkv,mkv,1546.8,/Volumes/horror/horror collection/2004 - The Machinist.mkv,2004 - The Machinist
